disease_name,primary_dosha,secondary_dosha,body_attributes_imbalance,tissues_affected,main_healing_herb,herb_preparation,herb_vehicle,herb_action,diet_to_favor,diet_to_avoid,lifestyle_modification,recommended_yoga_pose,recommended_breathing_exercise,meditation_focus
cystitis,Pitta,Vata,"Ushna, Tikshna",Mutravaha Srotas,Gokshura,Kwatha,Water,Mutrala,"Barley, Coconut water","Spicy food, Alcohol, Red meat, Excessive salt",Avoid suppression of urges,Bhujangasana,Sheetali,Swadhisthana
vulvodynia,Vata,Pitta,"Ruksha, Shita",Artavavaha Srotas,Shatavari,Ksheerpaka,Milk,Vedanasthapana,"Ghee, Warm milk","Cold drinks, Dry snacks, Raw salads, Beans",Yoni Pichu,Baddha Konasana,Anulom Vilom,Pelvic floor relaxation
nose disorder,Kapha,Vata,"Guru, Picchila",Pranavaha Srotas,Tulsi,Nasya Oil,Honey,Shirovirechana,"Ginger, Honey","Heavy dairy, Sweets, Fried food, Excessively cold items",Steam inhalation,Adho Mukha Svanasana,Kapalbhati,Ajna Chakra
complex regional pain syndrome,Vata,Pitta,"Chala, Shita",Majja Dhatu,Ashwagandha,Taila,Warm Milk,Vatashamana,Warm nutritious food,"Cold drinks, Dry snacks, Raw salads, Beans",Yoga Nidra,Shavasana,Bhramari,Somatic awareness
spondylosis,Vata,Kapha,"Khara, Shita",Asthi Dhatu,Guggulu,Vati,Warm water,Sandhanaka,"Garlic, Ginger","Cold drinks, Dry snacks, Raw salads, Beans",Posture correction,Marjariasana,Anulom Vilom,Spinal alignment
hypoglycemia,Vata,Pitta,"Laghu, Shita",Rasa Dhatu,Amalaki,Churna,Sugar water,Rasayana,Small frequent meals,"Cold drinks, Dry snacks, Raw salads, Beans",Regular eating schedule,Vrikshasana,Nadi Shodhana,Stability focus
vaginal cyst,Kapha,Vata,"Kathina, Guru",Mamsa Dhatu,Kanchanar Guggulu,Vati,Warm water,Lekhana,"Low fat, high fiber","Heavy dairy, Sweets, Fried food, Excessively cold items",Local hygiene,Viparita Karani,Ujjayi,Sacral healing
conjunctivitis due to allergy,Pitta,Kapha,"Drava, Tikshna",Netra (Eyes),Triphala,Eye Wash,Rose Water,Chakshushya,"Amla, Leafy greens","Spicy food, Alcohol, Red meat, Excessive salt",Cold compresses,Trataka (Gentle),Sheetali,Visual focus
peripheral nerve disorder,Vata,None,"Chala, Ruksha",Majja Dhatu,Bala,Oil,Milk,Balya,"Sweet, Sour, Salty","Cold drinks, Dry snacks, Raw salads, Beans",Abhyanga,Tadasana,Anulom Vilom,Nerve calming
esophagitis,Pitta,None,"Vidahi, Ushna",Annavaha Srotas,Yastimadhu,Churna,Ghee,Daha-prashamana,"Cold milk, Pomegranate","Spicy food, Alcohol, Red meat, Excessive salt",Small meals,Vajrasana,Sheetali,Heart center
gastrointestinal hemorrhage,Pitta,Rakta,"Drava, Sara",Rakta Dhatu,Vasa,Swarasa,Honey,Raktapittahara,"Pomegranate, Grapes","Spicy food, Alcohol, Red meat, Excessive salt",Absolute rest,Shavasana,Sheetali,Calming
diverticulitis,Vata,Pitta,"Ruksha, Ushna",Purishavaha Srotas,Isabgol,Husk,Warm Water,Anulomana,High fiber (boiled),"Cold drinks, Dry snacks, Raw salads, Beans",Probiotic intake,Pavanamuktasana,Bhramari,Intestinal ease
acute bronchitis,Kapha,Vata,"Guru, Shita",Pranavaha Srotas,Vasa,Avaleha,Honey,Kasahara,"Warm fluids, Ginger","Heavy dairy, Sweets, Fried food, Excessively cold items",Avoid cold exposure,Dhanurasana,Kapalbhati,Chest opening
