recommended_yoga_pose,sanskrit_name,steps,youtube_link,image_link,difficulty_level,breathing_pattern,contraindications,benefits,counter_pose,chakra_focus
Adho Mukha Svanasana,Adho Mukha Svanasana,"1. Hands and knees. 2. Lift knees, hips up and back. 3. Straighten arms and legs (heels toward mat). 4. Press into palms, lengthen spine. 5. Relax head.",https://www.youtube.com/results?search_query=Adho+Mukha+Svanasana+Yoga+With+Adriene,https://upload.wikimedia.org/wikipedia/commons/f/fe/Adho_Mukha_Svanasana.jpg,Beginner,"Deep, rhythmic Ujjayi breathing; exhale as you push into the pose.","Carpal tunnel syndrome, late-term pregnancy, high blood pressure, or vertigo.","Calms the brain, energizes the body, stretches shoulders/hamstrings/calves, strengthens arms/legs.",Balasana,"Ajna, Manipura"
Baddha Konasana,Baddha Konasana,"1. Sit with legs straight. 2. Bend knees, soles together. 3. Pull heels toward pelvis. 4. Hold feet, lengthen spine. 5. Gently flutter knees.",https://www.youtube.com/results?search_query=Baddha+Konasana+Yoga+With+Adriene,https://upload.wikimedia.org/wikipedia/commons/e/e3/Baddha_Konasana.jpg,Beginner,Deep abdominal breathing; exhale while pressing knees down or folding.,Recent knee or groin injury. Use cushions under thighs if groin is tight.,"Stimulates abdominal organs, improves circulation, stretches inner thighs/groin.",Dandasana,"Muladhara, Svadhisthana"
Balasana,Balasana,"1. Kneel, toes touching. 2. Sit back on heels. 3. Exhale and lay torso between thighs. 4. Extend arms forward or back.",https://www.youtube.com/results?search_query=Balasana+Childs+Pose+Yoga+With+Adriene,https://upload.wikimedia.org/wikipedia/commons/7/7b/Balasana.jpg,Beginner,"Slow, natural breathing; feel the breath expanding the lower back.","Diarrhea, knee injury, or pregnancy (keep knees wide apart).","Gently stretches hips/thighs/ankles, calms the brain, relieves stress/back pain.",Bhujangasana,"Ajna, Muladhara"
Bhujangasana,Bhujangasana,"1. Lie prone. 2. Hands under shoulders. 3. Inhale, lift chest. 4. Keep elbows in. 5. Look forward.",https://www.youtube.com/results?search_query=Bhujangasana+Cobra+Pose+Yoga+With+Adriene,https://upload.wikimedia.org/wikipedia/commons/d/df/Bhujangasana.jpg,Beginner,Inhale while lifting the chest; breathe normally while holding; exhale while lowering.,"Pregnancy, hernia, recent abdominal surgery, or carpal tunnel syndrome.","Strengthens spine, stretches chest/lungs/shoulders, stimulates abdominal organs.",Balasana,"Anahata, Vishuddha"
Dhanurasana,Dhanurasana,"1. Lie on stomach. 2. Bend knees, hold ankles. 3. Inhale, lift chest and thighs. 4. Kick legs back to lift higher.",https://www.youtube.com/results?search_query=Dhanurasana+Bow+Pose+Yoga+With+Adriene,https://upload.wikimedia.org/wikipedia/commons/3/3a/Dhanurasana.jpg,Intermediate,Inhale while lifting; hold breath (kumbhaka) for a few seconds if comfortable.,"High/low blood pressure, migraine, insomnia, or severe lower back injury.","Stretches entire front body, strengthens back muscles, improves posture.",Balasana,Manipura
Janu Shirasasana,Janu Sirsasana,1. Sit legs straight. 2. Right foot against left inner thigh. 3. Inhale arms up. 4. Exhale fold over left leg. 5. Hold foot.,https://www.youtube.com/results?search_query=Janu+Sirsasana+Yoga+With+Adriene,https://upload.wikimedia.org/wikipedia/commons/b/b3/Janu_Sirsasana.jpg,Beginner,Inhale to lengthen the spine; exhale as you fold forward over the leg.,"Acute diarrhea, asthma, or recent knee surgery.","Calms brain, helps mild depression, stretches spine/shoulders/hamstrings.",Ardha Matsyendrasana,Muladhara
Janushirasana,Janu Sirsasana,1. Sit legs straight. 2. Right foot against left inner thigh. 3. Inhale arms up. 4. Exhale fold over left leg.,https://www.youtube.com/results?search_query=Janu+Sirsasana+Yoga+With+Adriene,https://upload.wikimedia.org/wikipedia/commons/b/b3/Janu_Sirsasana.jpg,Beginner,Inhale to lengthen; exhale as you fold forward over the leg.,"Acute diarrhea, asthma, or recent knee surgery.","Calms brain, helps mild depression, stretches spine/shoulders/hamstrings.",Ardha Matsyendrasana,Muladhara
Katichakrasana,Kati Chakrasana,1. Stand feet shoulder-width. 2. Inhale arms forward. 3. Exhale twist waist to right. 4. Left hand on right shoulder. 5. Repeat left.,https://www.youtube.com/results?search_query=Katichakrasana+Yoga,https://upload.wikimedia.org/wikipedia/commons/4/4c/Katichakrasana.jpg,Beginner,Inhale in the center; exhale while twisting the waist to the side.,"Hernia, slip disc, or recent abdominal surgery. Avoid during pregnancy.","Relieves constipation, strengthens spine and waist, opens chest.",Tadasana,Manipura
Malasana,Malasana,"1. Squat feet close. 2. Separate thighs. 3. Lean forward, elbows inside knees. 4. Palms in prayer. 5. Lengthen spine.",https://www.youtube.com/results?search_query=Malasana+Garland+Pose+Yoga+With+Adriene,https://upload.wikimedia.org/wikipedia/commons/d/d1/Malasana.jpg,Beginner,"Steady, deep breaths; focus on sending the breath to the pelvic floor.",Severe knee or lower back injury.,"Stretches ankles/groins/back, tones belly, aids digestion.",Adho Mukha Svanasana,"Muladhara, Svadhisthana"
Marjariasana,Marjariasana,"1. Tabletop position. 2. Exhale, round spine (Cat). 3. Inhale, arch back (Cow). 4. Synchronize movement with breath.",https://www.youtube.com/results?search_query=Marjariasana+Cat+Cow+Yoga,https://upload.wikimedia.org/wikipedia/commons/d/d4/Marjaryasana.jpg,Beginner,Inhale while arching (Cow); exhale while rounding the spine (Cat).,Wrist injuries (use forearms instead) or chronic neck pain.,"Stretches back torso and neck, massages spine and belly organs.",Balasana,"Svadhisthana, Manipura"
